year,title,artist,search_url,spotify_url
2021,Levitating,Dua Lipa,https://open.spotify.com/search/Levitating%20Dua%20Lipa,
2021,Mood,24kGoldn feat. iann dior,https://open.spotify.com/search/Mood%2024kGoldn%20feat.%20iann%20dior,
2021,Kiss Me More,Doja Cat feat. SZA,https://open.spotify.com/search/Kiss%20Me%20More%20Doja%20Cat%20feat.%20SZA,
2021,Leave the Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),https://open.spotify.com/search/Leave%20the%20Door%20Open%20Silk%20Sonic%20%28Bruno%20Mars%20%26%20Anderson%20.Paak%29,
2021,Peaches,Justin Bieber feat. Daniel Caesar & Giveon,https://open.spotify.com/search/Peaches%20Justin%20Bieber%20feat.%20Daniel%20Caesar%20%26%20Giveon,
2021,Butter,BTS,https://open.spotify.com/search/Butter%20BTS,
2021,My Ex's Best Friend,Machine Gun Kelly feat. blackbear,https://open.spotify.com/search/My%20Ex%27s%20Best%20Friend%20Machine%20Gun%20Kelly%20feat.%20blackbear,
2021,Fancy Like,Walker Hayes,https://open.spotify.com/search/Fancy%20Like%20Walker%20Hayes,
2021,Dakiti,Bad Bunny & Jhay Cortez,https://open.spotify.com/search/Dakiti%20Bad%20Bunny%20%26%20Jhay%20Cortez,
2021,Best Friend,Saweetie feat. Doja Cat,https://open.spotify.com/search/Best%20Friend%20Saweetie%20feat.%20Doja%20Cat,
2021,For the Night,Pop Smoke feat. Lil Baby & DaBaby,https://open.spotify.com/search/For%20the%20Night%20Pop%20Smoke%20feat.%20Lil%20Baby%20%26%20DaBaby,
2021,Calling My Phone,Lil Tjay & 6LACK,https://open.spotify.com/search/Calling%20My%20Phone%20Lil%20Tjay%20%26%206LACK,
2021,Beautiful Mistakes,Maroon 5 feat. Megan Thee Stallion,https://open.spotify.com/search/Beautiful%20Mistakes%20Maroon%205%20feat.%20Megan%20Thee%20Stallion,
2021,Holy,Justin Bieber feat. Chance the Rapper,https://open.spotify.com/search/Holy%20Justin%20Bieber%20feat.%20Chance%20the%20Rapper,
2022,As It Was,Harry Styles,https://open.spotify.com/search/As%20It%20Was%20Harry%20Styles,
2022,Stay,The Kid LAROI & Justin Bieber,https://open.spotify.com/search/Stay%20The%20Kid%20LAROI%20%26%20Justin%20Bieber,
2022,Easy on Me,Adele,https://open.spotify.com/search/Easy%20on%20Me%20Adele,
2022,Shivers,Ed Sheeran,https://open.spotify.com/search/Shivers%20Ed%20Sheeran,
2022,First Class,Jack Harlow,https://open.spotify.com/search/First%20Class%20Jack%20Harlow,
2022,Big Energy,Latto,https://open.spotify.com/search/Big%20Energy%20Latto,
2022,Super Gremlin,Kodak Black,https://open.spotify.com/search/Super%20Gremlin%20Kodak%20Black,
2022,Cold Heart (Pnau Remix),Elton John & Dua Lipa,https://open.spotify.com/search/Cold%20Heart%20%28Pnau%20Remix%29%20Elton%20John%20%26%20Dua%20Lipa,
2022,Wait for U,Future feat. Drake & Tems,https://open.spotify.com/search/Wait%20for%20U%20Future%20feat.%20Drake%20%26%20Tems,
2022,About Damn Time,Lizzo,https://open.spotify.com/search/About%20Damn%20Time%20Lizzo,
2022,Bad Habits,Ed Sheeran,https://open.spotify.com/search/Bad%20Habits%20Ed%20Sheeran,
2022,That's What I Want,Lil Nas X,https://open.spotify.com/search/That%27s%20What%20I%20Want%20Lil%20Nas%20X,
2022,Enemy,Imagine Dragons & JID,https://open.spotify.com/search/Enemy%20Imagine%20Dragons%20%26%20JID,
2022,Industry Baby,Lil Nas X & Jack Harlow,https://open.spotify.com/search/Industry%20Baby%20Lil%20Nas%20X%20%26%20Jack%20Harlow,
2022,abcdefu,GAYLE,https://open.spotify.com/search/abcdefu%20GAYLE,
2022,Need to Know,Doja Cat,https://open.spotify.com/search/Need%20to%20Know%20Doja%20Cat,
2022,Me Porto Bonito,Bad Bunny & Chencho Corleone,https://open.spotify.com/search/Me%20Porto%20Bonito%20Bad%20Bunny%20%26%20Chencho%20Corleone,
2022,Woman,Doja Cat,https://open.spotify.com/search/Woman%20Doja%20Cat,
2022,Titi Me Pregunto,Bad Bunny,https://open.spotify.com/search/Titi%20Me%20Pregunto%20Bad%20Bunny,
2022,I Ain't Worried,OneRepublic,https://open.spotify.com/search/I%20Ain%27t%20Worried%20OneRepublic,
2022,We Don't Talk About Bruno,Encanto Cast,https://open.spotify.com/search/We%20Don%27t%20Talk%20About%20Bruno%20Encanto%20Cast,
2022,Late Night Talking,Harry Styles,https://open.spotify.com/search/Late%20Night%20Talking%20Harry%20Styles,
2022,I Like You (A Happier Song),Post Malone feat. Doja Cat,https://open.spotify.com/search/I%20Like%20You%20%28A%20Happier%20Song%29%20Post%20Malone%20feat.%20Doja%20Cat,
2022,Bad Habit,Steve Lacy,https://open.spotify.com/search/Bad%20Habit%20Steve%20Lacy,
2022,Sunroof,Nicky Youre & dazy,https://open.spotify.com/search/Sunroof%20Nicky%20Youre%20%26%20dazy,
2022,One Right Now,Post Malone & The Weeknd,https://open.spotify.com/search/One%20Right%20Now%20Post%20Malone%20%26%20The%20Weeknd,
2022,Numb Little Bug,Em Beihold,https://open.spotify.com/search/Numb%20Little%20Bug%20Em%20Beihold,
2023,Last Night,Morgan Wallen,https://open.spotify.com/search/Last%20Night%20Morgan%20Wallen,
2023,Flowers,Miley Cyrus,https://open.spotify.com/search/Flowers%20Miley%20Cyrus,
2023,Kill Bill,SZA,https://open.spotify.com/search/Kill%20Bill%20SZA,
2023,Anti-Hero,Taylor Swift,https://open.spotify.com/search/Anti-Hero%20Taylor%20Swift,
2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",https://open.spotify.com/search/Creepin%27%20Metro%20Boomin%2C%20The%20Weeknd%20%26%2021%20Savage,
2023,Calm Down,Rema & Selena Gomez,https://open.spotify.com/search/Calm%20Down%20Rema%20%26%20Selena%20Gomez,
2023,Die for You,The Weeknd & Ariana Grande,https://open.spotify.com/search/Die%20for%20You%20The%20Weeknd%20%26%20Ariana%20Grande,
2023,Fast Car,Luke Combs,https://open.spotify.com/search/Fast%20Car%20Luke%20Combs,
2023,Snooze,SZA,https://open.spotify.com/search/Snooze%20SZA,
2023,I'm Good (Blue),David Guetta & Bebe Rexha,https://open.spotify.com/search/I%27m%20Good%20%28Blue%29%20David%20Guetta%20%26%20Bebe%20Rexha,
2023,Unholy,Sam Smith & Kim Petras,https://open.spotify.com/search/Unholy%20Sam%20Smith%20%26%20Kim%20Petras,
2023,You Proof,Morgan Wallen,https://open.spotify.com/search/You%20Proof%20Morgan%20Wallen,
2023,Something in the Orange,Zach Bryan,https://open.spotify.com/search/Something%20in%20the%20Orange%20Zach%20Bryan,
2023,Rich Flex,Drake & 21 Savage,https://open.spotify.com/search/Rich%20Flex%20Drake%20%26%2021%20Savage,
2023,Rock and a Hard Place,Bailey Zimmerman,https://open.spotify.com/search/Rock%20and%20a%20Hard%20Place%20Bailey%20Zimmerman,
2023,Under the Influence,Chris Brown,https://open.spotify.com/search/Under%20the%20Influence%20Chris%20Brown,
2023,Thinkin' Bout Me,Morgan Wallen,https://open.spotify.com/search/Thinkin%27%20Bout%20Me%20Morgan%20Wallen,
2023,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,https://open.spotify.com/search/Boy%27s%20a%20Liar%20Pt.%202%20PinkPantheress%20%26%20Ice%20Spice,
2023,Favorite Song,Toosii,https://open.spotify.com/search/Favorite%20Song%20Toosii,
2023,Thought You Should Know,Morgan Wallen,https://open.spotify.com/search/Thought%20You%20Should%20Know%20Morgan%20Wallen,
2023,Thank God,Kane Brown & Katelyn Brown,https://open.spotify.com/search/Thank%20God%20Kane%20Brown%20%26%20Katelyn%20Brown,
2023,Sure Thing,Miguel,https://open.spotify.com/search/Sure%20Thing%20Miguel,
2023,All My Life,Lil Durk feat. J. Cole,https://open.spotify.com/search/All%20My%20Life%20Lil%20Durk%20feat.%20J.%20Cole,
2023,Ella Baila Sola,Eslabon Armado & Peso Pluma,https://open.spotify.com/search/Ella%20Baila%20Sola%20Eslabon%20Armado%20%26%20Peso%20Pluma,
2023,Karma,Taylor Swift feat. Ice Spice,https://open.spotify.com/search/Karma%20Taylor%20Swift%20feat.%20Ice%20Spice,
2023,Just Wanna Rock,Lil Uzi Vert,https://open.spotify.com/search/Just%20Wanna%20Rock%20Lil%20Uzi%20Vert,
2023,Cuff It,Beyonce,https://open.spotify.com/search/Cuff%20It%20Beyonce,
2023,Vampire,Olivia Rodrigo,https://open.spotify.com/search/Vampire%20Olivia%20Rodrigo,
2023,FukUMean,Gunna,https://open.spotify.com/search/FukUMean%20Gunna,
2023,Lavender Haze,Taylor Swift,https://open.spotify.com/search/Lavender%20Haze%20Taylor%20Swift,
2024,Lose Control,Teddy Swims,https://open.spotify.com/search/Lose%20Control%20Teddy%20Swims,
2024,A Bar Song (Tipsy),Shaboozey,https://open.spotify.com/search/A%20Bar%20Song%20%28Tipsy%29%20Shaboozey,
2024,Beautiful Things,Benson Boone,https://open.spotify.com/search/Beautiful%20Things%20Benson%20Boone,
2024,I Had Some Help,Post Malone feat. Morgan Wallen,https://open.spotify.com/search/I%20Had%20Some%20Help%20Post%20Malone%20feat.%20Morgan%20Wallen,
2024,Lovin on Me,Jack Harlow,https://open.spotify.com/search/Lovin%20on%20Me%20Jack%20Harlow,
2024,Not Like Us,Kendrick Lamar,https://open.spotify.com/search/Not%20Like%20Us%20Kendrick%20Lamar,
2024,Espresso,Sabrina Carpenter,https://open.spotify.com/search/Espresso%20Sabrina%20Carpenter,
2024,Million Dollar Baby,Tommy Richman,https://open.spotify.com/search/Million%20Dollar%20Baby%20Tommy%20Richman,
